Word,Positive Score,Negative Score
ਤਨਕੀਦੀ,0.5,0.3125
ਨਿਰਜਨ,0.0,0.46875
ਪਵਨਦੇਵ,0.125,0.0
ਤਸ਼ੱਦਦ,0.0,0.375
ਤੰਤੀ,0.0,0.0
ਸੁੜਕਾ,0.0,0.25
ਤੰਤੂ,0.3125,0.125
ਪਾਲਕ,0.16666667,0.2777778
ਆਵਦਾ,0.3125,0.25
ਵਾਰੀ,0.0,0.0
ਮੂਤਰ_ਵਾਹੀਨੀ,0.0,0.0
ਕਿੱਕ,0.0,0.0
ਯਾਤਰਾ,0.0,0.0
ਜੋਗਿਕ,0.25,0.0
ਅਨਿਸਚਿਤ,0.0,0.5
ਪੁਨਰਵਿਆਹ,0.0,0.0
ਸੰਖਿਆ_ਸ਼ਾਸ਼ਤਰ,0.20833333,0.29166666
ਚਮਾਰ,0.0,0.0
ਕਿੰਬ,0.0,0.0
ਰੱਤਹੀਣ,0.375,0.25
ਨਕੇਲ,0.0,0.25
ਇਕਤਾਲੀਵਾਂ,0.0,0.0
ਸੁਗਮਯ,0.3611111,0.33333334
ਟਰਾਂਸਲੇਸ਼ਨ,0.0,0.0
ਸਮੂਹਕ,0.0,0.0
ਤੋਪਗੱਡੀ,0.125,0.0
ਉਲਟਣਾ,0.0,0.0625
ਦਾਹਦੜ,0.25,0.25
ਖੁੱਥੜੀ,0.1875,0.5714286
ਤੌੜੀ,0.0,0.0
ਮਨਸ਼ਾ,0.0,0.0
ਜੁਬਾਨੀ,0.0625,0.0
ਘੋਟਾ,0.0,0.125
ਕੁਸ਼ਲਤਾ_ਰਹਿਤ,0.125,0.275
ਹੁੱਲੜਬਾਜ਼,0.3125,0.46875
ਦੀਵਾਨੀ_ਅਦਾਲਤ,0.125,0.0
ਤੌੜਾ,0.0,0.0
ਉਜਰਤ,0.5,0.0
ਸ਼ੁਰੂ,0.0,0.0
ਨਿਰਛਲ,0.425,0.4375
ਤਮੀਜ਼ਦਾਰ,0.5,0.0
ਤਸ਼ਬੀਹ,0.0,0.29166666
ਸ਼ੁਲਕ,0.0,0.0
ਡਿਗਰੀ,0.29166666,0.1875
ਪ੍ਰਭਾਵਸ਼ਾਲੀ,0.75,0.0
ਟਾਰਚ,0.0,0.125
ਸਾਰਥੀ,0.625,0.0
ਚੌਧਰੀ,0.0,0.0
ਠਿੱਠ,0.5,0.5625
ਜੜ੍ਹ_ਪੱਟਣਾ,0.083333336,0.5
ਵਿਨਿਯਮ,0.0,0.0
ਕਨਾਇਤ,0.5,0.41666666
ਲਾਲਟੈਣ,0.0,0.0
ਧਰੋਹੀ,0.125,0.5
ਜਿਰਾਬਕਤਰ,0.0,0.125
ਕੂਕਰ,0.0,0.0
ਨਪੀੜਨਾ,0.125,0.375
ਹੋਛਾ,0.45833334,0.5416667
ਸਦਕਾ,0.25,0.3125
ਪਾਰਕ,0.0,0.0
ਫਿੱਕ,0.125,0.5625
ਠੂਠਾ,0.0,0.0
ਨੇਚੁਰਲ,0.3409091,0.35416666
ਕਟਾਈ,0.375,0.0
ਚਿਪਕਾਉਣ,0.17857143,0.16666667
ਕਟਾਉ,0.140625,0.4
ਆਸ਼ਕੀ,0.575,0.0
ਸਿੰਮਣਾ,0.0,0.0
ਸਥੂਲ,0.3392857,0.28125
ਗੰਠੀਆ,0.0,0.4375
ਠੌਂਕਾ,0.0,0.375
ਵਿਜੈ,0.4125,0.0
ਅੰਗੂਠਾ,0.25,0.0
ਅੰਗੂਠੀ,0.125,0.0
ਉਦਿਆਨ,0.0,0.0
ਦਾਗਣਾ,0.0,0.475
ਉਦਾਤ_ਅਲੰਕਾਰ,0.5416667,0.125
ਕਾਰਸਤਾਨੀ,0.25,0.29166666
ਲਾਲੜੀ,0.0,0.0
ਦਿਦਾਰੀ,0.75,0.0
ਘੋਨੀ,0.0,0.0
ਘੋਨਾ,0.0,0.0
ਜੰਗਬਾਜ,0.5,0.125
ਕ੍ਰਿਤਾਰਥ,0.525,0.25
ਆਚਾਰਹੀਣ,0.21175,0.53824997
ਤਸਲੀਮ,0.44444445,0.375
ਭਟਕਨਾ,0.2,0.28333333
ਨਿਜਵਾਦ,0.125,0.0
ਉਂਘਲ਼ੇਟਾ,0.0,0.0
ਸਹਿਵਰਤੀ,0.0,0.0
ਵੀਅਤਨਾਮੀ_ਡਾਂਗ,0.0625,0.0
ਹਿਰਾਸਤ,0.0,0.0
ਖਿਡੌਣਾ,0.25,0.125
ਤੈਅ_ਹੋਣਾ,0.20833333,0.16666667
ਪਿਛਲ,0.125,0.0
ਚੁੰਬਕੀ_ਸ਼ਕਤੀ,0.375,0.0
ਵਿਚਰ,0.0,0.125
ਨਿਰਖੀ,0.0,0.0
ਜ਼ਬਤੀ,0.0,0.0
ਸਾਮੰਤ,0.625,0.20833333
ਬੇਇਲਾਜ਼,0.625,0.0
ਸੈੱਲਫ਼,0.0,0.0
ਸੁਜ਼ਾਕ,0.0,0.625
ਹਿਰਾਸੀ,0.0,0.125
ਵਿਜਈ,0.5,0.0
ਚੱਕਰਦਾਰ,0.275,0.21875
ਨਿਰਗਮ,0.0,0.0
ਆੜ੍ਹਤ,0.0,0.0
ਦੈਵਿਕ,0.125,0.0
ਕਟਾਰ,0.125,0.0
ਖੋਜਕਰਤਾ,1.0,0.0
ਗੁਹਾਰ,0.0,0.46875
ਗੈੱਸਟ,0.0,0.0
ਪਾਰਦਾਫਾਸ਼_ਹੋਣਾ,0.0,0.0
ਵਿਛਾ,0.0,0.0
ਮਿਸਤਰੀ,0.45833334,0.0
ਸਾਗਰ_ਸ਼ਹਿਰ,0.0,0.125
ਰੱਖੀ_ਹੋਈ,0.20833333,0.125
ਸਥੁਲ,0.0,0.625
ਪ੍ਰਦੂਸ਼ਣ,0.0,0.0
ਵਿਪਰੀਤਵਾਚੀ,0.0,0.0
ਕਾਲਜੀਏਟ,0.0,0.0
